,,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,4:25PM ET,boxscore,W,,1-0,@,Tampa Bay Buccaneers,31,17,17,256,158,98,2,21,295,174,121,4,-6.51,19.12,1.10
2,Sun,September 15,1:00PM ET,boxscore,W,,2-0,@,Cincinnati Bengals,41,17,27,571,312,259,1,14,316,291,25,1,27.34,1.14,-4.10
3,Sun,September 22,4:25PM ET,boxscore,W,,3-0,,Pittsburgh Steelers,24,20,26,436,268,168,5,11,239,160,79,2,-3.72,10.20,0.12
5,Mon,October 7,8:15PM ET,boxscore,W,,4-0,,Cleveland Browns,31,3,22,446,171,275,,9,180,78,102,4,13.38,22.56,-10.50
6,Sun,October 13,4:05PM ET,boxscore,W,,5-0,@,Los Angeles Rams,20,7,22,331,232,99,2,10,157,48,109,1,-3.54,25.23,-5.01
7,Sun,October 20,1:00PM ET,boxscore,W,,6-0,@,Washington Redskins,9,0,17,283,146,137,1,10,154,50,104,1,-1.99,12.37,-0.61
8,Sun,October 27,4:05PM ET,boxscore,W,,7-0,,Carolina Panthers,51,13,24,388,156,232,1,12,230,100,130,3,16.84,29.05,-7.14
9,Thu,October 31,8:20PM ET,boxscore,W,,8-0,@,Arizona Cardinals,28,25,21,411,310,101,,19,357,204,153,,18.45,-14.71,0.88
10,Mon,November 11,8:15PM ET,boxscore,L,OT,8-1,,Seattle Seahawks,24,27,21,302,215,87,3,19,336,189,147,4,-16.73,17.69,-4.23
11,Sun,November 17,4:05PM ET,boxscore,W,,9-1,,Arizona Cardinals,36,26,26,442,408,34,2,21,266,131,135,2,9.92,-0.09,1.17
12,Sun,November 24,8:20PM ET,boxscore,W,,10-1,,Green Bay Packers,37,8,16,339,227,112,,19,198,81,117,1,10.66,13.62,0.67
13,Sun,December 1,1:00PM ET,boxscore,L,,10-2,@,Baltimore Ravens,17,20,15,331,157,174,1,21,283,105,178,1,6.20,-6.40,-1.20
